0.00 20.00
100.00 19.98
200.00 19.93
300.00 19.85
400.00 19.73
500.00 19.59
600.00 19.42
700.00 19.23
800.00 19.02
900.00 18.80
1000.00 18.55
1100.00 18.30
1200.00 18.05
1300.00 17.78
1400.00 17.51
1500.00 17.24
1600.00 16.97
1700.00 16.69
1800.00 16.42
1900.00 16.15
2000.00 15.89
2100.00 15.62
2200.00 15.36
2300.00 15.10
2400.00 14.85
2500.00 14.60
2600.00 14.35
2700.00 14.11
2800.00 13.88
2900.00 13.65
3000.00 13.42
3100.00 13.19
3200.00 12.97
3300.00 12.76
3400.00 12.55
3500.00 12.34
3600.00 12.14
3700.00 11.94
3800.00 11.74
3900.00 11.55
4000.00 11.36
4100.00 11.17
4200.00 10.99
4300.00 10.81
4400.00 10.63
4500.00 10.46
4600.00 10.29
4700.00 10.12
4800.00 9.96
4900.00 9.80
5000.00 9.64
5100.00 9.48
5200.00 9.33
5300.00 9.18
5400.00 9.03
5500.00 8.88
5600.00 8.74
5700.00 8.59
5800.00 8.45
5900.00 8.31
6000.00 8.18
6100.00 8.04
6200.00 7.91
6300.00 7.78
6400.00 7.65
6500.00 7.53
6600.00 7.40
6700.00 7.28
6800.00 7.15
6900.00 7.03
7000.00 6.92
7100.00 6.80
7200.00 6.68
7300.00 6.57
7400.00 6.46
7500.00 6.34
7600.00 6.23
7700.00 6.12
7800.00 6.02
7900.00 5.91
8000.00 5.81
8100.00 5.70
8200.00 5.60
8300.00 5.50
8400.00 5.40
8500.00 5.30
8600.00 5.20
8700.00 5.10
8800.00 5.01
8900.00 4.91
9000.00 4.82
9100.00 4.72
9200.00 4.63
9300.00 4.54
9400.00 4.45
9500.00 4.36
9600.00 4.27
9700.00 4.19
9800.00 4.10
9900.00 4.01
10000.00 3.93
10100.00 3.84
10200.00 3.76
10300.00 3.68
10400.00 3.60
10500.00 3.51
10600.00 3.43
10700.00 3.35
10800.00 3.27
10900.00 3.20
11000.00 3.12
11100.00 3.04
11200.00 2.97
11300.00 2.89
11400.00 2.81
11500.00 2.74
11600.00 2.67
11700.00 2.59
11800.00 2.52
11900.00 2.45
12000.00 2.38
12100.00 2.31
12200.00 2.24
12300.00 2.17
12400.00 2.10
12500.00 2.03
12600.00 1.96
12700.00 1.89
12800.00 1.83
12900.00 1.76
13000.00 1.69
13100.00 1.63
13200.00 1.56
13300.00 1.50
13400.00 1.43
13500.00 1.37
13600.00 1.31
13700.00 1.24
13800.00 1.18
13900.00 1.12
14000.00 1.06
14100.00 1.00
14200.00 0.94
14300.00 0.88
14400.00 0.82
14500.00 0.76
14600.00 0.70
14700.00 0.64
14800.00 0.58
14900.00 0.52
15000.00 0.47
15100.00 0.41
15200.00 0.35
15300.00 0.30
15400.00 0.24
15500.00 0.18
15600.00 0.13
15700.00 0.07
15800.00 0.02
15900.00 -0.03
16000.00 -0.09
16100.00 -0.14
16200.00 -0.20
16300.00 -0.25
16400.00 -0.30
16500.00 -0.35
16600.00 -0.41
16700.00 -0.46
16800.00 -0.51
16900.00 -0.56
17000.00 -0.61
17100.00 -0.66
17200.00 -0.71
17300.00 -0.76
17400.00 -0.81
17500.00 -0.86
17600.00 -0.91
17700.00 -0.96
17800.00 -1.01
17900.00 -1.05
18000.00 -1.10
18100.00 -1.15
18200.00 -1.20
18300.00 -1.25
18400.00 -1.29
18500.00 -1.34
18600.00 -1.39
18700.00 -1.43
18800.00 -1.48
18900.00 -1.52
19000.00 -1.57
19100.00 -1.61
19200.00 -1.66
19300.00 -1.70
19400.00 -1.75
19500.00 -1.79
19600.00 -1.84
19700.00 -1.88
19800.00 -1.92
19900.00 -1.97
20000.00 -2.01
